asset_id,entity_id,entity_type,entity_name,asset_kind,local_path,primary_url,source_page_url,source_authority,copyright_owner,expected_min_width,expected_min_height,preferred_aspect,desktop_focal_x,desktop_focal_y,mobile_focal_x,mobile_focal_y,crop_strategy,download_status,qa_status,notes
champion:aatrox:master,char:aatrox,CHAMPION,Aatrox,MASTER_SPLASH,champions/master/aatrox.jpg,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Aatrox_0.jpg,https://www.leagueoflegends.com/en-us/champions/aatrox/,RIOT_DATA_DRAGON,"Riot Games, Inc.",1200,700,~1.69:1,0.50,0.50,0.50,0.40,FOCAL_CROP,PENDING,NEEDS_VISUAL_QA,Official base splash. Use as master for derived crops; do not upscale low-res portrait assets.
champion:aatrox:loading,char:aatrox,CHAMPION,Aatrox,NATIVE_LOADING,champions/master/aatrox-loading.jpg,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Aatrox_0.jpg,https://www.leagueoflegends.com/en-us/champions/aatrox/,RIOT_DATA_DRAGON,"Riot Games, Inc.",300,550,~9:16,0.50,0.50,0.50,0.40,FOCAL_CROP,PENDING,NEEDS_VISUAL_QA,"Official loading art; useful as fallback in vertical contexts, but cinematic should prefer master splash crop if quality is better."
champion:aatrox:generated_portrait_512,char:aatrox,CHAMPION,Aatrox,GENERATED_PORTRAIT_512,champions/generated/aatrox-portrait-512.webp,,,DERIVED_FROM_RIOT_MASTER,"Riot Games, Inc.",,,1:1,0.50,0.50,0.50,0.40,FOCAL_CROP,GENERATE_AFTER_MASTER,NEEDS_VISUAL_QA,Derive from champions/master/aatrox.jpg using focal points; never stretch.
champion:aatrox:generated_card_4x5,char:aatrox,CHAMPION,Aatrox,GENERATED_CARD_4X5,champions/generated/aatrox-card-4x5.webp,,,DERIVED_FROM_RIOT_MASTER,"Riot Games, Inc.",,,4:5,0.50,0.50,0.50,0.40,FOCAL_CROP,GENERATE_AFTER_MASTER,NEEDS_VISUAL_QA,Derive from champions/master/aatrox.jpg using focal points; never stretch.
champion:aatrox:generated_hero_16x9,char:aatrox,CHAMPION,Aatrox,GENERATED_HERO_16X9,champions/generated/aatrox-hero-16x9.webp,,,DERIVED_FROM_RIOT_MASTER,"Riot Games, Inc.",,,16:9,0.50,0.50,0.50,0.40,FOCAL_CROP,GENERATE_AFTER_MASTER,NEEDS_VISUAL_QA,Derive from champions/master/aatrox.jpg using focal points; never stretch.
champion:aatrox:generated_cinematic_9x16,char:aatrox,CHAMPION,Aatrox,GENERATED_CINEMATIC_9X16,champions/generated/aatrox-cinematic-9x16.webp,,,DERIVED_FROM_RIOT_MASTER,"Riot Games, Inc.",,,9:16,0.50,0.50,0.50,0.40,FOCAL_CROP,GENERATE_AFTER_MASTER,NEEDS_VISUAL_QA,Derive from champions/master/aatrox.jpg using focal points; never stretch.
champion:ahri:master,char:ahri,CHAMPION,Ahri,MASTER_SPLASH,champions/master/ahri.jpg,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Ahri_0.jpg,https://www.leagueoflegends.com/en-us/champions/ahri/,RIOT_DATA_DRAGON,"Riot Games, Inc.",1200,700,~1.69:1,0.50,0.50,0.50,0.40,FOCAL_CROP,PENDING,NEEDS_VISUAL_QA,Official base splash. Use as master for derived crops; do not upscale low-res portrait assets.
champion:ahri:loading,char:ahri,CHAMPION,Ahri,NATIVE_LOADING,champions/master/ahri-loading.jpg,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Ahri_0.jpg,https://www.leagueoflegends.com/en-us/champions/ahri/,RIOT_DATA_DRAGON,"Riot Games, Inc.",300,550,~9:16,0.50,0.50,0.50,0.40,FOCAL_CROP,PENDING,NEEDS_VISUAL_QA,"Official loading art; useful as fallback in vertical contexts, but cinematic should prefer master splash crop if quality is better."
champion:ahri:generated_portrait_512,char:ahri,CHAMPION,Ahri,GENERATED_PORTRAIT_512,champions/generated/ahri-portrait-512.webp,,,DERIVED_FROM_RIOT_MASTER,"Riot Games, Inc.",,,1:1,0.50,0.50,0.50,0.40,FOCAL_CROP,GENERATE_AFTER_MASTER,NEEDS_VISUAL_QA,Derive from champions/master/ahri.jpg using focal points; never stretch.
champion:ahri:generated_card_4x5,char:ahri,CHAMPION,Ahri,GENERATED_CARD_4X5,champions/generated/ahri-card-4x5.webp,,,DERIVED_FROM_RIOT_MASTER,"Riot Games, Inc.",,,4:5,0.50,0.50,0.50,0.40,FOCAL_CROP,GENERATE_AFTER_MASTER,NEEDS_VISUAL_QA,Derive from champions/master/ahri.jpg using focal points; never stretch.
