champion_id,name,canonical_slug,ddragon_id,region_primary,official_title,narrative_roles,species,status,aliases,completeness_tier,needs_research,riot_champion_url,wiki_universe_url,wiki_data_url,ddragon_json_url,portrait_url,splash_url,loading_url,source_verified_online,last_verified_at,notes
char:aatrox,Aatrox,aatrox,Aatrox,Shurima,,,,,,C_INDEXED,TRUE,https://www.leagueoflegends.com/en-us/champions/aatrox/,https://wiki.leagueoflegends.com/en-us/Universe%3AAatrox,https://wiki.leagueoflegends.com/en-us/Template%3AData_Aatrox,https://ddragon.leagueoflegends.com/cdn/16.18.1/data/en_US/champion/Aatrox.json,https://ddragon.leagueoflegends.com/cdn/16.18.1/img/champion/Aatrox.png,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Aatrox_0.jpg,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Aatrox_0.jpg,UNTESTED,,Seed registry. Enrich from primary Riot bio + official Wiki Universe; do not treat gameplay tags as narrative roles.
char:ahri,Ahri,ahri,Ahri,Ionia,,,,,,C_INDEXED,TRUE,https://www.leagueoflegends.com/en-us/champions/ahri/,https://wiki.leagueoflegends.com/en-us/Universe%3AAhri,https://wiki.leagueoflegends.com/en-us/Template%3AData_Ahri,https://ddragon.leagueoflegends.com/cdn/16.18.1/data/en_US/champion/Ahri.json,https://ddragon.leagueoflegends.com/cdn/16.18.1/img/champion/Ahri.png,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Ahri_0.jpg,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Ahri_0.jpg,UNTESTED,,Seed registry. Enrich from primary Riot bio + official Wiki Universe; do not treat gameplay tags as narrative roles.
char:akali,Akali,akali,Akali,Ionia,,,,,,C_INDEXED,TRUE,https://www.leagueoflegends.com/en-us/champions/akali/,https://wiki.leagueoflegends.com/en-us/Universe%3AAkali,https://wiki.leagueoflegends.com/en-us/Template%3AData_Akali,https://ddragon.leagueoflegends.com/cdn/16.18.1/data/en_US/champion/Akali.json,https://ddragon.leagueoflegends.com/cdn/16.18.1/img/champion/Akali.png,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Akali_0.jpg,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Akali_0.jpg,UNTESTED,,Seed registry. Enrich from primary Riot bio + official Wiki Universe; do not treat gameplay tags as narrative roles.
char:akshan,Akshan,akshan,Akshan,Shurima,,,,,,C_INDEXED,TRUE,https://www.leagueoflegends.com/en-us/champions/akshan/,https://wiki.leagueoflegends.com/en-us/Universe%3AAkshan,https://wiki.leagueoflegends.com/en-us/Template%3AData_Akshan,https://ddragon.leagueoflegends.com/cdn/16.18.1/data/en_US/champion/Akshan.json,https://ddragon.leagueoflegends.com/cdn/16.18.1/img/champion/Akshan.png,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Akshan_0.jpg,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Akshan_0.jpg,UNTESTED,,Seed registry. Enrich from primary Riot bio + official Wiki Universe; do not treat gameplay tags as narrative roles.
char:alistar,Alistar,alistar,Alistar,Noxus,,,,,,C_INDEXED,TRUE,https://www.leagueoflegends.com/en-us/champions/alistar/,https://wiki.leagueoflegends.com/en-us/Universe%3AAlistar,https://wiki.leagueoflegends.com/en-us/Template%3AData_Alistar,https://ddragon.leagueoflegends.com/cdn/16.18.1/data/en_US/champion/Alistar.json,https://ddragon.leagueoflegends.com/cdn/16.18.1/img/champion/Alistar.png,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Alistar_0.jpg,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Alistar_0.jpg,UNTESTED,,Seed registry. Enrich from primary Riot bio + official Wiki Universe; do not treat gameplay tags as narrative roles.
char:ambessa,Ambessa,ambessa,Ambessa,Noxus,,,,,,C_INDEXED,TRUE,https://www.leagueoflegends.com/en-us/champions/ambessa/,https://wiki.leagueoflegends.com/en-us/Universe%3AAmbessa,https://wiki.leagueoflegends.com/en-us/Template%3AData_Ambessa,https://ddragon.leagueoflegends.com/cdn/16.18.1/data/en_US/champion/Ambessa.json,https://ddragon.leagueoflegends.com/cdn/16.18.1/img/champion/Ambessa.png,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Ambessa_0.jpg,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Ambessa_0.jpg,UNTESTED,,Seed registry. Enrich from primary Riot bio + official Wiki Universe; do not treat gameplay tags as narrative roles.
char:amumu,Amumu,amumu,Amumu,Shurima,,,,,,C_INDEXED,TRUE,https://www.leagueoflegends.com/en-us/champions/amumu/,https://wiki.leagueoflegends.com/en-us/Universe%3AAmumu,https://wiki.leagueoflegends.com/en-us/Template%3AData_Amumu,https://ddragon.leagueoflegends.com/cdn/16.18.1/data/en_US/champion/Amumu.json,https://ddragon.leagueoflegends.com/cdn/16.18.1/img/champion/Amumu.png,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Amumu_0.jpg,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Amumu_0.jpg,UNTESTED,,Seed registry. Enrich from primary Riot bio + official Wiki Universe; do not treat gameplay tags as narrative roles.
char:anivia,Anivia,anivia,Anivia,Freljord,,,,,,C_INDEXED,TRUE,https://www.leagueoflegends.com/en-us/champions/anivia/,https://wiki.leagueoflegends.com/en-us/Universe%3AAnivia,https://wiki.leagueoflegends.com/en-us/Template%3AData_Anivia,https://ddragon.leagueoflegends.com/cdn/16.18.1/data/en_US/champion/Anivia.json,https://ddragon.leagueoflegends.com/cdn/16.18.1/img/champion/Anivia.png,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Anivia_0.jpg,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Anivia_0.jpg,UNTESTED,,Seed registry. Enrich from primary Riot bio + official Wiki Universe; do not treat gameplay tags as narrative roles.
char:annie,Annie,annie,Annie,Noxus,,,,,,C_INDEXED,TRUE,https://www.leagueoflegends.com/en-us/champions/annie/,https://wiki.leagueoflegends.com/en-us/Universe%3AAnnie,https://wiki.leagueoflegends.com/en-us/Template%3AData_Annie,https://ddragon.leagueoflegends.com/cdn/16.18.1/data/en_US/champion/Annie.json,https://ddragon.leagueoflegends.com/cdn/16.18.1/img/champion/Annie.png,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Annie_0.jpg,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Annie_0.jpg,UNTESTED,,Seed registry. Enrich from primary Riot bio + official Wiki Universe; do not treat gameplay tags as narrative roles.
char:aphelios,Aphelios,aphelios,Aphelios,Targon,,,,,,C_INDEXED,TRUE,https://www.leagueoflegends.com/en-us/champions/aphelios/,https://wiki.leagueoflegends.com/en-us/Universe%3AAphelios,https://wiki.leagueoflegends.com/en-us/Template%3AData_Aphelios,https://ddragon.leagueoflegends.com/cdn/16.18.1/data/en_US/champion/Aphelios.json,https://ddragon.leagueoflegends.com/cdn/16.18.1/img/champion/Aphelios.png,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Aphelios_0.jpg,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Aphelios_0.jpg,UNTESTED,,Seed registry. Enrich from primary Riot bio + official Wiki Universe; do not treat gameplay tags as narrative roles.
