event_id,entity_id,entity_name,role_in_event,participation_status,source_ids,needs_review,notes
event:void-war,char:aatrox,Aatrox,,LIKELY_OR_DOCUMENTED,src:riot-bio:aatrox,TRUE,Participant seed; verify actual participation vs broad historical association.
event:void-war,char:nasus,Nasus,,LIKELY_OR_DOCUMENTED,src:riot-bio:nasus,TRUE,Participant seed; verify actual participation vs broad historical association.
event:void-war,char:renekton,Renekton,,LIKELY_OR_DOCUMENTED,src:riot-bio:renekton,TRUE,Participant seed; verify actual participation vs broad historical association.
event:void-war,char:jax,Jax,,LIKELY_OR_DOCUMENTED,src:riot-bio:jax,TRUE,Participant seed; verify actual participation vs broad historical association.
event:void-war,char:zilean,Zilean,,LIKELY_OR_DOCUMENTED,src:riot-bio:zilean,TRUE,Participant seed; verify actual participation vs broad historical association.
event:fall-shurima,char:azir,Azir,,LIKELY_OR_DOCUMENTED,src:riot-bio:azir,TRUE,Participant seed; verify actual participation vs broad historical association.
event:fall-shurima,char:xerath,Xerath,,LIKELY_OR_DOCUMENTED,src:riot-bio:xerath,TRUE,Participant seed; verify actual participation vs broad historical association.
event:fall-shurima,char:nasus,Nasus,,LIKELY_OR_DOCUMENTED,src:riot-bio:nasus,TRUE,Participant seed; verify actual participation vs broad historical association.
event:fall-shurima,char:renekton,Renekton,,LIKELY_OR_DOCUMENTED,src:riot-bio:renekton,TRUE,Participant seed; verify actual participation vs broad historical association.
event:fall-shurima,char:sivir,Sivir,,LIKELY_OR_DOCUMENTED,src:riot-bio:sivir,TRUE,Participant seed; verify actual participation vs broad historical association.
event:great-darkin-war,char:aatrox,Aatrox,,LIKELY_OR_DOCUMENTED,src:riot-bio:aatrox,TRUE,Participant seed; verify actual participation vs broad historical association.
event:great-darkin-war,char:varus,Varus,,LIKELY_OR_DOCUMENTED,src:riot-bio:varus,TRUE,Participant seed; verify actual participation vs broad historical association.
event:great-darkin-war,char:naafiri,Naafiri,,LIKELY_OR_DOCUMENTED,src:riot-bio:naafiri,TRUE,Participant seed; verify actual participation vs broad historical association.
event:great-darkin-war,char:zaahen,Zaahen,,LIKELY_OR_DOCUMENTED,src:riot-bio:zaahen,TRUE,Participant seed; verify actual participation vs broad historical association.
