media_id,entity_id,entity_type,media_type,url,source_url,authority,focal_point_x,focal_point_y,mobile_focal_point_x,mobile_focal_point_y,qa_status,notes
media:portrait:aatrox,char:aatrox,CHAMPION,PORTRAIT,https://ddragon.leagueoflegends.com/cdn/16.18.1/img/champion/Aatrox.png,https://ddragon.leagueoflegends.com/cdn/16.18.1/data/en_US/champion/Aatrox.json,RIOT_DATA_DRAGON,0.5,0.5,0.5,0.5,AUTO_DEFAULT,Square portrait; validate resolution.
media:splash:aatrox,char:aatrox,CHAMPION,SPLASH,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Aatrox_0.jpg,https://ddragon.leagueoflegends.com/cdn/16.18.1/data/en_US/champion/Aatrox.json,RIOT_DATA_DRAGON,,,,,NEEDS_FOCAL_QA,Base splash. Store per-champion focal point after visual QA.
media:portrait:ahri,char:ahri,CHAMPION,PORTRAIT,https://ddragon.leagueoflegends.com/cdn/16.18.1/img/champion/Ahri.png,https://ddragon.leagueoflegends.com/cdn/16.18.1/data/en_US/champion/Ahri.json,RIOT_DATA_DRAGON,0.5,0.5,0.5,0.5,AUTO_DEFAULT,Square portrait; validate resolution.
media:splash:ahri,char:ahri,CHAMPION,SPLASH,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Ahri_0.jpg,https://ddragon.leagueoflegends.com/cdn/16.18.1/data/en_US/champion/Ahri.json,RIOT_DATA_DRAGON,,,,,NEEDS_FOCAL_QA,Base splash. Store per-champion focal point after visual QA.
media:portrait:akali,char:akali,CHAMPION,PORTRAIT,https://ddragon.leagueoflegends.com/cdn/16.18.1/img/champion/Akali.png,https://ddragon.leagueoflegends.com/cdn/16.18.1/data/en_US/champion/Akali.json,RIOT_DATA_DRAGON,0.5,0.5,0.5,0.5,AUTO_DEFAULT,Square portrait; validate resolution.
media:splash:akali,char:akali,CHAMPION,SPLASH,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Akali_0.jpg,https://ddragon.leagueoflegends.com/cdn/16.18.1/data/en_US/champion/Akali.json,RIOT_DATA_DRAGON,,,,,NEEDS_FOCAL_QA,Base splash. Store per-champion focal point after visual QA.
media:portrait:akshan,char:akshan,CHAMPION,PORTRAIT,https://ddragon.leagueoflegends.com/cdn/16.18.1/img/champion/Akshan.png,https://ddragon.leagueoflegends.com/cdn/16.18.1/data/en_US/champion/Akshan.json,RIOT_DATA_DRAGON,0.5,0.5,0.5,0.5,AUTO_DEFAULT,Square portrait; validate resolution.
media:splash:akshan,char:akshan,CHAMPION,SPLASH,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Akshan_0.jpg,https://ddragon.leagueoflegends.com/cdn/16.18.1/data/en_US/champion/Akshan.json,RIOT_DATA_DRAGON,,,,,NEEDS_FOCAL_QA,Base splash. Store per-champion focal point after visual QA.
media:portrait:alistar,char:alistar,CHAMPION,PORTRAIT,https://ddragon.leagueoflegends.com/cdn/16.18.1/img/champion/Alistar.png,https://ddragon.leagueoflegends.com/cdn/16.18.1/data/en_US/champion/Alistar.json,RIOT_DATA_DRAGON,0.5,0.5,0.5,0.5,AUTO_DEFAULT,Square portrait; validate resolution.
media:splash:alistar,char:alistar,CHAMPION,SPLASH,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Alistar_0.jpg,https://ddragon.leagueoflegends.com/cdn/16.18.1/data/en_US/champion/Alistar.json,RIOT_DATA_DRAGON,,,,,NEEDS_FOCAL_QA,Base splash. Store per-champion focal point after visual QA.
