source_id,entity_id,entity_type,title,url,domain,source_type,authority_tier,continuity,canon_status,fetch_status,retrieved_at,notes
src:riot-bio:aatrox,char:aatrox,CHAMPION,Aatrox — CHAMPION_BIO,https://www.leagueoflegends.com/en-us/champions/aatrox/,www.leagueoflegends.com,CHAMPION_BIO,PRIMARY_OFFICIAL,MAIN_RUNETERRA,CURRENT_OR_REVIEW,UNFETCHED,,Use primary Riot text as highest-priority evidence; Wiki should point back to underlying Riot sources.
src:wiki-universe:aatrox,char:aatrox,CHAMPION,Aatrox — WIKI_UNIVERSE,https://wiki.leagueoflegends.com/en-us/Universe%3AAatrox,wiki.leagueoflegends.com,WIKI_UNIVERSE,OFFICIAL_COMMUNITY_REFERENCE,MAIN_RUNETERRA,CURRENT_OR_REVIEW,UNFETCHED,,Use primary Riot text as highest-priority evidence; Wiki should point back to underlying Riot sources.
src:wiki-data:aatrox,char:aatrox,CHAMPION,Aatrox — WIKI_REFERENCE,https://wiki.leagueoflegends.com/en-us/Template%3AData_Aatrox,wiki.leagueoflegends.com,WIKI_REFERENCE,OFFICIAL_COMMUNITY_REFERENCE,MAIN_RUNETERRA,CURRENT_OR_REVIEW,UNFETCHED,,Use primary Riot text as highest-priority evidence; Wiki should point back to underlying Riot sources.
src:ddragon:aatrox,char:aatrox,CHAMPION,Aatrox — DATA_DRAGON,https://ddragon.leagueoflegends.com/cdn/16.18.1/data/en_US/champion/Aatrox.json,ddragon.leagueoflegends.com,DATA_DRAGON,PRIMARY_OFFICIAL_STATIC,MAIN_RUNETERRA,CURRENT_OR_REVIEW,UNFETCHED,,Use primary Riot text as highest-priority evidence; Wiki should point back to underlying Riot sources.
src:riot-bio:ahri,char:ahri,CHAMPION,Ahri — CHAMPION_BIO,https://www.leagueoflegends.com/en-us/champions/ahri/,www.leagueoflegends.com,CHAMPION_BIO,PRIMARY_OFFICIAL,MAIN_RUNETERRA,CURRENT_OR_REVIEW,UNFETCHED,,Use primary Riot text as highest-priority evidence; Wiki should point back to underlying Riot sources.
src:wiki-universe:ahri,char:ahri,CHAMPION,Ahri — WIKI_UNIVERSE,https://wiki.leagueoflegends.com/en-us/Universe%3AAhri,wiki.leagueoflegends.com,WIKI_UNIVERSE,OFFICIAL_COMMUNITY_REFERENCE,MAIN_RUNETERRA,CURRENT_OR_REVIEW,UNFETCHED,,Use primary Riot text as highest-priority evidence; Wiki should point back to underlying Riot sources.
src:wiki-data:ahri,char:ahri,CHAMPION,Ahri — WIKI_REFERENCE,https://wiki.leagueoflegends.com/en-us/Template%3AData_Ahri,wiki.leagueoflegends.com,WIKI_REFERENCE,OFFICIAL_COMMUNITY_REFERENCE,MAIN_RUNETERRA,CURRENT_OR_REVIEW,UNFETCHED,,Use primary Riot text as highest-priority evidence; Wiki should point back to underlying Riot sources.
src:ddragon:ahri,char:ahri,CHAMPION,Ahri — DATA_DRAGON,https://ddragon.leagueoflegends.com/cdn/16.18.1/data/en_US/champion/Ahri.json,ddragon.leagueoflegends.com,DATA_DRAGON,PRIMARY_OFFICIAL_STATIC,MAIN_RUNETERRA,CURRENT_OR_REVIEW,UNFETCHED,,Use primary Riot text as highest-priority evidence; Wiki should point back to underlying Riot sources.
src:riot-bio:akali,char:akali,CHAMPION,Akali — CHAMPION_BIO,https://www.leagueoflegends.com/en-us/champions/akali/,www.leagueoflegends.com,CHAMPION_BIO,PRIMARY_OFFICIAL,MAIN_RUNETERRA,CURRENT_OR_REVIEW,UNFETCHED,,Use primary Riot text as highest-priority evidence; Wiki should point back to underlying Riot sources.
src:wiki-universe:akali,char:akali,CHAMPION,Akali — WIKI_UNIVERSE,https://wiki.leagueoflegends.com/en-us/Universe%3AAkali,wiki.leagueoflegends.com,WIKI_UNIVERSE,OFFICIAL_COMMUNITY_REFERENCE,MAIN_RUNETERRA,CURRENT_OR_REVIEW,UNFETCHED,,Use primary Riot text as highest-priority evidence; Wiki should point back to underlying Riot sources.
src:wiki-data:akali,char:akali,CHAMPION,Akali — WIKI_REFERENCE,https://wiki.leagueoflegends.com/en-us/Template%3AData_Akali,wiki.leagueoflegends.com,WIKI_REFERENCE,OFFICIAL_COMMUNITY_REFERENCE,MAIN_RUNETERRA,CURRENT_OR_REVIEW,UNFETCHED,,Use primary Riot text as highest-priority evidence; Wiki should point back to underlying Riot sources.
src:ddragon:akali,char:akali,CHAMPION,Akali — DATA_DRAGON,https://ddragon.leagueoflegends.com/cdn/16.18.1/data/en_US/champion/Akali.json,ddragon.leagueoflegends.com,DATA_DRAGON,PRIMARY_OFFICIAL_STATIC,MAIN_RUNETERRA,CURRENT_OR_REVIEW,UNFETCHED,,Use primary Riot text as highest-priority evidence; Wiki should point back to underlying Riot sources.
src:riot-bio:akshan,char:akshan,CHAMPION,Akshan — CHAMPION_BIO,https://www.leagueoflegends.com/en-us/champions/akshan/,www.leagueoflegends.com,CHAMPION_BIO,PRIMARY_OFFICIAL,MAIN_RUNETERRA,CURRENT_OR_REVIEW,UNFETCHED,,Use primary Riot text as highest-priority evidence; Wiki should point back to underlying Riot sources.
src:wiki-universe:akshan,char:akshan,CHAMPION,Akshan — WIKI_UNIVERSE,https://wiki.leagueoflegends.com/en-us/Universe%3AAkshan,wiki.leagueoflegends.com,WIKI_UNIVERSE,OFFICIAL_COMMUNITY_REFERENCE,MAIN_RUNETERRA,CURRENT_OR_REVIEW,UNFETCHED,,Use primary Riot text as highest-priority evidence; Wiki should point back to underlying Riot sources.
src:wiki-data:akshan,char:akshan,CHAMPION,Akshan — WIKI_REFERENCE,https://wiki.leagueoflegends.com/en-us/Template%3AData_Akshan,wiki.leagueoflegends.com,WIKI_REFERENCE,OFFICIAL_COMMUNITY_REFERENCE,MAIN_RUNETERRA,CURRENT_OR_REVIEW,UNFETCHED,,Use primary Riot text as highest-priority evidence; Wiki should point back to underlying Riot sources.
src:ddragon:akshan,char:akshan,CHAMPION,Akshan — DATA_DRAGON,https://ddragon.leagueoflegends.com/cdn/16.18.1/data/en_US/champion/Akshan.json,ddragon.leagueoflegends.com,DATA_DRAGON,PRIMARY_OFFICIAL_STATIC,MAIN_RUNETERRA,CURRENT_OR_REVIEW,UNFETCHED,,Use primary Riot text as highest-priority evidence; Wiki should point back to underlying Riot sources.
src:riot-bio:alistar,char:alistar,CHAMPION,Alistar — CHAMPION_BIO,https://www.leagueoflegends.com/en-us/champions/alistar/,www.leagueoflegends.com,CHAMPION_BIO,PRIMARY_OFFICIAL,MAIN_RUNETERRA,CURRENT_OR_REVIEW,UNFETCHED,,Use primary Riot text as highest-priority evidence; Wiki should point back to underlying Riot sources.
src:wiki-universe:alistar,char:alistar,CHAMPION,Alistar — WIKI_UNIVERSE,https://wiki.leagueoflegends.com/en-us/Universe%3AAlistar,wiki.leagueoflegends.com,WIKI_UNIVERSE,OFFICIAL_COMMUNITY_REFERENCE,MAIN_RUNETERRA,CURRENT_OR_REVIEW,UNFETCHED,,Use primary Riot text as highest-priority evidence; Wiki should point back to underlying Riot sources.
src:wiki-data:alistar,char:alistar,CHAMPION,Alistar — WIKI_REFERENCE,https://wiki.leagueoflegends.com/en-us/Template%3AData_Alistar,wiki.leagueoflegends.com,WIKI_REFERENCE,OFFICIAL_COMMUNITY_REFERENCE,MAIN_RUNETERRA,CURRENT_OR_REVIEW,UNFETCHED,,Use primary Riot text as highest-priority evidence; Wiki should point back to underlying Riot sources.
